,state,sat_part_17,sat_part_18,sat_part_19,act_part_17,act_part_18,act_part_19,perc_college_bound,perc_bach
0,Alabama,0.05,0.06,0.07,1.0,1.0,1.0,0.6595,0.27149999999999996
1,Alaska,0.38,0.43,0.41,0.65,0.33,0.38,0.4114,0.2696
2,Arizona,0.3,0.29,0.31,0.62,0.66,0.73,0.5009,0.2912
3,Arkansas,0.03,0.05,0.06,1.0,1.0,1.0,0.6313,0.2596
4,California,0.53,0.6,0.63,0.31,0.27,0.23,0.6601,0.3663
5,Colorado,0.11,1.0,1.0,1.0,0.3,0.27,0.5798,0.4277
6,Connecticut,1.0,1.0,1.0,0.31,0.26,0.22,0.7805,0.43450000000000005
7,Delaware,1.0,1.0,1.0,0.18,0.17,0.13,0.7093,0.3273
8,Florida,0.83,0.56,1.0,0.73,0.66,0.54,0.6456000000000001,0.31170000000000003
9,Georgia,0.61,0.7,0.71,0.55,0.53,0.49,0.6537000000000001,0.33159999999999995
10,Hawaii,0.55,0.56,0.54,0.9,0.89,0.8,0.6139,0.3161
11,Idaho,0.93,1.0,1.0,0.38,0.36,0.31,0.4393,0.2781
12,Illinois,0.09,0.99,1.0,0.93,0.43,0.35,0.6172,0.424
13,Indiana,0.63,0.63,0.66,0.35,0.32,0.29,0.6132,0.31120000000000003
14,Iowa,0.02,0.03,0.03,0.67,0.68,0.66,0.6598,0.342
15,Kansas,0.04,0.04,0.04,0.73,0.71,0.72,0.619,0.3771
16,Kentucky,0.04,0.04,0.04,1.0,1.0,1.0,0.6408,0.2859
17,Louisiana,0.04,0.04,0.05,1.0,1.0,1.0,0.6878,0.2724
18,Maine,0.95,0.99,0.99,0.08,0.07,0.06,0.588,0.3629
19,Maryland,0.69,0.76,0.82,0.28,0.31,0.28,0.6537999999999999,0.43170000000000003
20,Massachusetts,0.76,0.8,0.81,0.29,0.25,0.21,0.7409,0.5346
21,Michigan,1.0,1.0,1.0,0.29,0.22,0.19,0.6479,0.33659999999999995
22,Minnesota,0.03,0.04,0.04,1.0,0.99,0.95,0.6772,0.43170000000000003
23,Mississippi,0.02,0.03,0.03,1.0,1.0,1.0,0.8047,0.24239999999999998
24,Missouri,0.03,0.04,0.04,1.0,1.0,0.82,0.5927,0.3461
25,Montana,0.1,0.1,0.09,1.0,1.0,1.0,0.5397,0.32380000000000003
26,Nebraska,0.03,0.03,0.03,0.84,1.0,1.0,0.6258,0.38659999999999994
27,Nevada,0.26,0.23,0.2,1.0,1.0,1.0,0.5816,0.2348
28,New Hampshire,0.96,0.96,0.95,0.18,0.16,0.14,0.612,0.38789999999999997
29,New Jersey,0.7,0.82,0.82,0.34,0.31,0.25,0.7402,0.4722
30,New Mexico,0.11,0.16,0.18,0.66,0.67,0.63,0.6071,0.2324
31,New York,0.67,0.79,0.79,0.31,0.27,0.22,0.7242000000000001,0.4637
32,North Carolina,0.49,0.52,0.51,1.0,1.0,1.0,0.6329,0.34450000000000003
33,North Dakota,0.02,0.02,0.02,0.98,0.98,0.96,0.6114999999999999,0.3556
34,Ohio,0.12,0.18,0.19,0.75,1.0,1.0,0.6324000000000001,0.3379
35,Oklahoma,0.07,0.08,0.22,1.0,1.0,1.0,0.5727,0.2614
36,Oregon,0.43,0.48,0.51,0.4,0.42,0.42,0.5563,0.3527
37,Pennsylvania,0.65,0.7,0.7,0.23,0.2,0.17,0.619,0.39880000000000004
38,Rhode Island,0.71,0.97,1.0,0.21,0.15,0.12,0.6981,0.3884
39,South Carolina,0.5,0.55,0.68,1.0,1.0,0.78,0.6889,0.3096
40,South Dakota,0.03,0.03,0.03,0.8,0.77,0.75,0.6931999999999999,0.3464
41,Tennessee,0.05,0.06,0.07,1.0,1.0,1.0,0.6865000000000001,0.3136
42,Texas,0.62,0.66,0.68,0.45,0.45,0.39,0.5759000000000001,0.3139
43,Utah,0.03,0.04,0.04,1.0,1.0,1.0,0.4696,0.3414
44,Vermont,0.6,0.64,0.66,0.29,0.24,0.2,0.5511,0.4606
45,Virginia,0.65,0.68,0.68,0.29,0.24,0.21,0.69,0.4156
46,Washington,0.64,0.69,0.7,0.29,0.24,0.24,0.5323,0.3936
47,West Virginia,0.14,0.28,0.99,0.69,0.65,0.49,0.5485,0.2696
48,Wisconsin,0.03,0.03,0.03,1.0,1.0,1.0,0.5828,0.35159999999999997
49,Wyoming,0.03,0.03,0.03,1.0,1.0,1.0,0.5611999999999999,0.2743
